file	status
- "🙄".yaml	OK
ABBRUCHMARKER_MARKER.yaml	YAML_ERROR: ScannerError
AFFILIATION_INCENTIVE.yaml	OK
AI_BOT_SCAM.yaml_MARKER.yaml	OK
AI_BOT_SCAM_MARKER.yaml	YAML_ERROR: ScannerError
AI_BOT_SEMANTIC_DETECT.py_MARKER.yaml	OK
AKUSTISCHE_KOHÄRENZ_MARKER.yaml	YAML_ERROR: ScannerError
AMBIVALENCE_MARKER.yaml	OK
AMBIVALENCE_TOLERANCE_MARKER_MARKER.yaml	OK
AMBIVALENT_STALLING_MANEUVER.yaml	OK
ANALYSIS_CONFIGURATION 2.yaml	OK
ANALYSIS_CONFIGURATION.yaml	OK
ANALYTICAL_THINKING_MARKER.yaml	OK
ARCHETYPAL_PATTERNS_MARKER.yaml	YAML_ERROR: ScannerError
ARCHETYPICAL_PATTERN.yaml	OK
AROUSAL_BEHAVIORALS_MARKER.yaml	YAML_ERROR: ScannerError
AROUSAL_MARKER.yaml	OK
ASYMMETRIC_INFO_MINING.yaml	OK
A_ABBRUCHMARKER.yaml	OK
A_ANTICIPATION_EXPRESSION.yaml	YAML_ERROR: ParserError
A_APPEAL_TO_AUTHORITY_MARKER.yaml	YAML_ERROR: ScannerError
A_AUSDRUCK_VORFREUDE_MARKER.yaml	OK
A_BLAME_SHIFT_MARKER.yaml	YAML_ERROR: ScannerError
A_BRO_LIKE_CALLING_MARKER.yaml	YAML_ERROR: ScannerError
A_CALL_TO_ACTION.yaml	YAML_ERROR: ParserError
A_CERTAINTY_PHRASE.yaml	YAML_ERROR: ParserError
A_CONTRAST_CONJUNCTION.yaml	YAML_ERROR: ParserError
A_CONTRAST_CONJUNCTION_MARKER.yaml	OK
A_CRITICISM_ATTACK_MARKER.yaml	YAML_ERROR: ParserError
A_DAILY_GREETING_MARKER.yaml	YAML_ERROR: ScannerError
A_DEFENSIVENESS_SHIFT_MARKER.yaml	YAML_ERROR: ParserError
A_DEFENSIVE_JUSTIFICATION_MARKER.yaml	OK
A_DEVALUING_STATEMENT_MARKER.yaml	OK
A_EMOJI_SUPPORT.yaml	YAML_ERROR: ScannerError
A_EMOTIONAL_INVALIDATION.yaml	YAML_ERROR: ScannerError
A_EMO_HIGH_VALENCE_MARKER.yaml	YAML_ERROR: ScannerError
A_EMO_LOW_VALENCE_MARKER.yaml	YAML_ERROR: ScannerError
A_FEELING_CONNECTION_MARKER.yaml	OK
A_FEIGNED_FORGETFULNESS_MARKER.yaml	OK
A_FIRSTTIME_CLAUSE_MARKER.yaml	YAML_ERROR: ParserError
A_FRIENDLY_FLIRT.yaml	YAML_ERROR: ParserError
A_GENERALIZED_ACCUSATION_MARKER.yaml	OK
A_HOPEFUL_FORWARD_LOOKING.yaml	YAML_ERROR: ParserError
A_IF_YOU_WANT_MARKER.yaml	YAML_ERROR: ScannerError
A_INVITING_RESONANCE_MARKER.yaml	OK
A_JOINT_PLANNING_MARKER.yaml	OK
A_KISS_KEYWORD_MARKER.yaml	OK
A_LOC_MARKER.yaml	YAML_ERROR: ParserError
A_MISC_MARKER.yaml	YAML_ERROR: ParserError
A_MIXED_SCRIPT_TOKEN_MARKER.yaml	YAML_ERROR: ParserError
A_NEGATIVE_CAREGIVER_MARKER.yaml	YAML_ERROR: ScannerError
A_OFFENDED_SILENCE_MARKER.yaml	OK
A_ORG_MARKER.yaml	YAML_ERROR: ParserError
A_PARTIAL_DISCLOSURE_MARKER.yaml	YAML_ERROR: ScannerError
A_PASSIVE_AGGRESIVE.yaml	YAML_ERROR: ParserError
A_PERSONAL_SECRET_MARKER.yaml	YAML_ERROR: ParserError
A_PER_MARKER.yaml	YAML_ERROR: ParserError
A_POSITIVE_CAREGIVER_MARKER.yaml	YAML_ERROR: ScannerError
A_POSITIVE_RESONANCE_MARKER.yaml	OK
A_REALITY_SHIFT.yaml	YAML_ERROR: ParserError
A_REPETITIVE_COMPLAINT_MARKER.yaml	OK
A_RIVALRY_MENTION_MARKER.yaml	YAML_ERROR: ParserError
A_ROUTINE_GREETING_MARKER.yaml	OK
A_SCARCITY_TIMER_MARKER.yaml	YAML_ERROR: ParserError
A_SELF_PITY.yaml	OK
A_SELF_RELIANCE_EARLY_MARKER.yaml	YAML_ERROR: ScannerError
A_SOFT_FLIRT_MARKER.yaml	OK
A_SUBTLE_SARCASM_MARKER.yaml	OK
A_SVT_APPELL_DIREKT_MARKER.yaml	YAML_ERROR: ParserError
A_SVT_BEZIEHUNG_DU_BOTSCHAFT_MARKER.yaml	OK
A_SWAYING.yaml	OK
A_SYMBOL_LANGUAGES.yaml	YAML_ERROR: ParserError
A_TEAM_METAPHOR_MARKER.yaml	OK
A_TOGETHERNESS_TERMS_MARKER.yaml	OK
A_UNCERTAINTY_PHRASE.yaml	YAML_ERROR: ParserError
A_UNCERTAINTY_PHRASE_MARKER.yaml	OK
A_UNDERSTANDING.yaml	OK
A_UNILATERAL_DECISION_MARKER.yaml	OK
A_UNPREDICTABLE_CAREGIVER_MARKER.yaml	YAML_ERROR: ScannerError
A_UNRESOLVED_ISSUE_MARKER.yaml	OK
BINDING_PATTERN_CLUSTER.yaml	OK
BLAME_SHIFTING.yaml	OK
BLAME_SHIFT_MARKER.yaml	OK
BOUNDARY_SETTING_MARKER_MARKER.yaml	OK
BOUNDARY_SHIFT.yaml	OK
BREAK_UP_MARKER.yaml	OK
CARE_SIGNITURE_MARKER_MARKER.yaml	OK
COGNITIVE_DISSTURBANCE.yaml	OK
COMPARISON_GHOST_MARKER.yaml	YAML_ERROR: ScannerError
CONNECTION_MARKER.yaml	OK
CONNECTION_POSITIVITY_MARKER.yaml	OK
CRISIS_MONEY_REQUEST.yaml	OK
C_ADAPTIVE_POLARIZATION_MARKER.yaml	YAML_ERROR: ParserError
C_ATTACHMENT_STYLE_ANXIOUS_MARKER.yaml	YAML_ERROR: ScannerError
C_ATTACHMENT_STYLE_AVOIDANT_MARKER.yaml	YAML_ERROR: ScannerError
C_ATTACHMENT_STYLE_SECURE_MARKER.yaml	YAML_ERROR: ScannerError
C_AUTONOMOUS_FIELD_STRUCTURING_MARKER.yaml	YAML_ERROR: ScannerError
C_DESTRUCTIVE_SELF_PROTECTION_MARKER.yaml	YAML_ERROR: ScannerError
C_DOMINANCE_BEHAVIOR_PATTERN_MARKER.yaml	OK
C_DYNAMICS_KNOTS.yaml	YAML_ERROR: ComposerError
C_EMO_INSTABILITY_MARKER.yaml	YAML_ERROR: ScannerError
C_EMO_VOLATILE_WINDOW_MARKER.yaml	YAML_ERROR: ScannerError
C_ENTITY_RICH_TOPIC_MARKER.yaml	YAML_ERROR: ParserError
C_FLIRTING_DYNAMICS_MARKER.yaml	YAML_ERROR: ParserError
C_FRIENDSHIP_SIGNALING_MARKER.yaml	YAML_ERROR: ScannerError
C_GROWING_CONNECTION_CLUSTER.yaml	YAML_ERROR: ParserError
C_INDIRECT_CONFLICT_AVOIDANCE_MARKER.yaml	YAML_ERROR: ScannerError
C_INNER_EMPTINESS_MARKER.yaml	YAML_ERROR: ParserError
C_PERSISTENT_TENSION_MARKER.yaml	OK
C_RELATIONAL_DESTABILIZATION_LOOP_MARKER.yaml	YAML_ERROR: ScannerError
C_SECRET_BONDING_MARKER.yaml	YAML_ERROR: ParserError
C_SELF_DISCLOSURE_MARKER.yaml	YAML_ERROR: ScannerError
C_SELF_PROTECTION_TACTICS_MARKER.yaml	YAML_ERROR: ScannerError
C_SOFT_COMMITMENT_MARKER.yaml	YAML_ERROR: ScannerError
C_SUSTAINED_CONTACT_MARKER.yaml	OK
C_SVT_MESSAGE_INCONGRUENCE_MARKER.yaml	YAML_ERROR: ParserError
C_SYMBOLIC_SUPPORT_FIELD.yaml	YAML_ERROR: ParserError
C_THERAPEUTIC_MIRRORING_MARKER.yaml	YAML_ERROR: ScannerError
C_WACHSENDE_VERBINDUNG_MARKER.yaml	YAML_ERROR: ParserError
DEEPENING_BY_QUESTIONING.yaml_MARKER.yaml	OK
DEEP_SEMANTIC_MARKER_CLUSTER.yaml	OK
DEVELOPMENT_META_COMMUNICATION_MARKER_MARKER.yaml	OK
DRAMA_TRIANGLE_MARKER.yaml	OK
DRIFT_AXIS.yaml	OK
DYNAMIC_KNOTS.yaml.yaml	OK
EMBOWERMENT_MARKER.yaml	OK
EMOJI_ALIGNMENT_MARKER.yaml	OK
EMOJI_ALIGNMENT_SEM.yaml	OK
EMOTIONAL_BEHAVIORAL_MARKERS 2.yaml	OK
EMOTIONAL_BEHAVIORAL_MARKERS.yaml	OK
EMOTIONAL_INTERACTION_REACTION_CLUSTER.yaml	OK
EMOTIONAL_INVALIDATION.yaml	OK
EMOTIONAL_VALENCE_MARKERS 2.yaml	OK
EMOTIONAL_VALENCE_MARKERS.yaml	OK
EMOTIONAL_WITHDRAW.yaml	OK
EMOTION_GUARD.yaml	OK
ENHANCED_MARKER_CONFIG.yaml	OK
ERROR_CULTURE_MARKER.yaml	OK
ESCALATION_MARKER.yaml	OK
EXAMPLES.yaml	OK
EXISTING_EXAMPLES.yaml	OK
FABRICATED_STATUS_ARCHETYPE.yaml	OK
FAILURE_OWNERSHIP_MARKER_MARKER.yaml	OK
FLIRT_DRIFT_DETECTIO_MARKER.yaml	YAML_ERROR: ParserError
FLUCTATIONS_MARKER.yaml	OK
FLUCTUATION_MARKER.yaml	OK
FRIENDLY_FLIRTING_DETECT.py_MARKER.yaml	OK
FRIENDLY_FLIRTING_MARKER.yaml	OK
GASLIGHTING_GUILT.yaml	OK
GASLIGHTING_MARKER.yaml	OK
GREETING_FREQUENCY_MARKER_MARKER.yaml	OK
GUILT_TRIPPING_MARKER.yaml	OK
GUILT_TRIPPING_SEMANTIC_DETECT.py_MARKER.yaml	OK
HANDS_ON_MENTALITY_MARKER.yaml	OK
HIGH_TENSION_MARKER.yaml	OK
IDEALIZATION_DEVALUATION.yaml	OK
ID_MARKER.yaml	OK
INITIATIVE_MARKER.yaml	OK
INSECURE_PULL_MARKER.yaml	OK
INTEGRATION_MARKER.yaml	OK
INTROSPECTION_MARKER.yaml	OK
ISOLATION_MARKER.yaml	OK
KATEGORIEN.yaml	OK
LATENT_EXPECTATION.yaml	OK
LIE_CONCEALMENT_MARKER.yaml	OK
LOVE_BOMBING.yaml	OK
LOVE_SCAM_EARLY_SIGNS.yaml	OK
LOYALTY_MARKER.yaml	OK
MARKER.yaml	OK
MARKER_AXIES_DRIFT.yaml_MARKER.yaml	OK
MARKER_MARKER 2.yaml	OK
MARKER_MARKER.yaml	OK
MARKER_NAME_MARKER.yaml	OK
META_COMMUNICATION_MARKERS 2.yaml	OK
META_COMMUNICATION_MARKERS.yaml	OK
META_MODERATION_MARKER.yaml	OK
META_REFLEX_SEM_MARKER.yaml	OK
MF01_PROMPT_SCAM_DETECT.py.yaml	OK
MF_PROMOT_SYSTEMIK VIEW.yaml	YAML_ERROR: ScannerError
MICRO_CARE_MARKER.yaml	OK
MICRO_TEASE.yaml	OK
MIRRORED_STYLE_MARKER.yaml	OK
MM_ATTACHMENT_PROFILE_MARKER.yaml	YAML_ERROR: ScannerError
MM_DESTRUCTIVE_CONFLICT_DYNAMICS_MARKER.yaml	OK
MM_DESTRUCTIVE_RELATIONAL_PATTERNS_MARKER.yaml	YAML_ERROR: ScannerError
MM_EMOTION_DYNAMICS_RISK_MARKER.yaml	YAML_ERROR: ScannerError
MM_Emotional_ESPAW.yaml	OK
MM_FLIRT_DANCE_DRIFT_MARKER.yaml	YAML_ERROR: ParserError
MM_INFORMATION_DENSITY_MARKER.yaml	YAML_ERROR: ParserError
MM_LOVE_BOMBING_MARKER.yaml	OK
MM_MANIPULATIVE_RELATIONSHIP_ENGINEERING_MARKER.yaml	OK
MM_MARKERENGINE_BUSINESS_CASE.yaml	OK
MM_MARKERENGINE_CI_RELEASE.yaml	OK
MM_MEANING_CRISIS_MARKER.yaml	YAML_ERROR: ParserError
MM_META_OBSERVER.yaml.yaml	OK
MM_MICRO_VALIDATION_LOOP_MARKER.yaml	YAML_ERROR: ScannerError
MM_RAPID_SELF_DISCLOSURE2_MARKER.yaml	OK
MM_RELATIONAL_DELEGATION_MARKER.yaml	YAML_ERROR: ScannerError
MM_RELATIONAL_STABILITY_FRIENDSHIP_MARKER.yaml	YAML_ERROR: ScannerError
MM_RELATIONSHIP_STRAIN_MARKER.yaml	OK
MM_SELF_PROTECTION_DECEPTION_MARKER.yaml	YAML_ERROR: ScannerError
MM_SEMANTIC_INTUITION_DRIFT.yaml.yaml	OK
MM_STELLVERTRETERKONFLIKT_MARKER.yaml	OK
MM_WELLBEING_BALANCE_MARKER.yaml	OK
MODEL_CONVERGENCE_SEM_MARKER.yaml	OK
MODEL_DIVERGENCE_SEM_MARKER.yaml	OK
M_LOVE_BOMBING_MARKER.yaml	OK
M_RAPID_SELF_DISCLOSURE2_MARKER.yaml	OK
M_STELLVERTRETERKONFLIKT_MARKER.yaml	OK
M_WELLBEING_BALANCE_MARKER.yaml	OK
NEW_STRATEGY_ATTEMPT_MARKER_MARKER.yaml	OK
NOVELTY_BURST_SEM_MARKER.yaml	OK
OFFENSIVE_FLIRTING.yaml_MARKER.yaml	OK
PASSIVE_AGGRISIVE_BEHAVIOUR.yaml	OK
PERMANENT_POSTPONE_MARKER.yaml	OK
PLATFORM_SWITCH.yaml	OK
PLAYING_VICTIM_MARKER.yaml	OK
PROCESS_STRUCTURE_MARKER.yaml	OK
PROJECTIVE_IDENTIFICATION_MARKER.yaml	OK
PYSCHOLOGICAL_MANIPULATION.yaml	OK
RADICAL_OWNERSHIP_MARKER.yaml	OK
REALITY_SHIFT_DEREALIZATION.yaml	OK
REBOUND_SEM_MARKER.yaml	OK
RECOPA_chunk_output_template.yaml	OK
RELATIONSHIP_AUTHENTICITY_MARKER_MARKER.yaml	OK
RELATIONSHIP_MARKER_CLUSTER.yaml	OK
REPORT_TEMPLATES.yaml	OK
RESONACE_MATCHING_DETECTOR.py_MARKER.yaml	OK
RESONANZ_MATCHING_MARKER_MARKER.yaml	OK
RESPONSE_TIME_MARKER.yaml	OK
RESPONSE_TIMING_MARKER.yaml	OK
RESULT_ORIENTATED_MARKER.yaml	OK
RITUAL_PROXIMITY_SEM_MARKER.yaml	OK
ROLE_ROTATION.MARKER.yaml	OK
ROMANCE_FRAUD_MARKERS.yaml	OK
SARCASM_SUBTILE.yaml	OK
SARCASTIC_IN_IRONIC_CONTROL.yaml	OK
SCAMMER_SEMANTIC_BEHAVIOUR.yaml_MARKER.yaml	OK
SELF_ANALYSE_MARKER.yaml	OK
SELF_DISCLOSURE_DRIFT_AXES_MARKER.yaml	OK
SELF_REFLECTION_MARKER_MARKER.yaml	OK
SELF_SABOTAGE_LOOP_MARKER.yaml	OK
SELF_VICTIMIZATION.yaml	OK
SEMANTIC_BEHAVIOR_MARKER.yaml	OK
SEMANTIC_BEHAVIOR_MARKER_SYSTEM.yaml_MARKER.yaml	OK
SEMANTIC_FOG_MARKER.yaml	OK
SEMANTIC_MARKER_RULES_MARKER.yaml	OK
SHOCK_SURPRISE_DRIFT.yaml_MARKER.yaml	OK
SILENT_TREATMENT_MARKER.yaml	OK
SIMU_IMITATION_STRATEGIES.yaml_MARKER.yaml	OK
SIMU_LAVE_SCAM_SEMANTIC.yaml_MARKER.yaml	OK
SIMU_LOVE_SCAM_HUMAN01.py_MARKER.yaml	OK
SIMU_LOVE_SCAM_PSYCHO_DISTRACT.yaml_MARKER.yaml	OK
SOCIAL_BORDERLINES_MARKER_MIX.yaml_MARKER.yaml	OK
SOFT_COMMITMENT_MARKER.yaml	OK
SPIRAL_ANALYSE.yaml	YAML_ERROR: ScannerError
STRATEGIC_EMOTIONALIZATION.yaml	OK
STYLE_SYNC_MARKER.yaml	OK
STYLE_SYNC_SEM.yaml	OK
SUBTLE_TERRITORIAL_MARKER.yaml	OK
SWAYING_MARKER.yaml	OK
SYSTEM_TURNING_CLUSTER.yaml_MARKER.yaml	OK
SYSTEM_TURNING_POINT.yaml_MARKER.yaml	OK
S_ACTION_ORIENTED_SPEECH.yaml	YAML_ERROR: ParserError
S_AMBIVALENT_ATTACHMENT_SPEECH_MARKER.yaml	YAML_ERROR: ScannerError
S_ANXIOUS_CHILDHOOD_REF_MARKER.yaml	YAML_ERROR: ScannerError
S_AVOIDANT_CHILDHOOD_REF_MARKER.yaml	YAML_ERROR: ScannerError
S_BLAME_SHIFT_EXPRESSIONS_MARKER.yaml	YAML_ERROR: ScannerError
S_BLAME_SHIFT_RESPONSE_MARKER.yaml	YAML_ERROR: ScannerError
S_CARING_FRIEND_EXPRESSIONS_MARKER.yaml	YAML_ERROR: ScannerError
S_CIRCULAR_ARGUMENT_MARKER.yaml	OK
S_CRITICISM_DEFENSIVENESS_LOOP_MARKER.yaml	YAML_ERROR: ParserError
S_DESTRUCTIVE_CRITICISM_MARKER.yaml	OK
S_EMO_CONTRAST_DRIFT.yaml	YAML_ERROR: ScannerError
S_EMO_CONTRAST_DRIFT_MARKER.yaml	YAML_ERROR: ScannerError
S_EMO_MEAN_LOW_MARKER.yaml	YAML_ERROR: ScannerError
S_EMO_SLOPE_DOWN_MARKER.yaml	YAML_ERROR: ScannerError
S_EMO_SLOPE_UP_MARKER.yaml	YAML_ERROR: ScannerError
S_EMO_VOLATILE_WINDOW_MARKER.yaml	YAML_ERROR: ScannerError
S_EXPLICIT_CONNECTION.yaml	YAML_ERROR: ParserError
S_FIRST_TIME_DEPTH_MARKER.yaml	YAML_ERROR: ParserError
S_GUILT_TWIST_MARKER.yaml	OK
S_HELPLESSNESS.yaml	OK
S_HIGH_PERSON_DENSIT_MARKER.yaml	YAML_ERROR: ParserError
S_HIGH_PRESSURE_DEMAND_MARKER.yaml	OK
S_HIGH_SIMILARITY_DUPLICATE_MARKER.yaml	YAML_ERROR: ParserError
S_HOPEFUL_DRIVING_TONE.yaml	YAML_ERROR: ParserError
S_INITIATIVE_GEMEINSAME_ZUKUNFT_MARKER.yaml	OK
S_INTERACTIVE_STONEWALLING_MARKER.yaml	YAML_ERROR: ParserError
S_PASSIVE_AGGRESSIVE_ATTACK_MARKER.yaml	OK
S_PASSIVE_AGGRESSIVE_WITHDRAWAL_MARKER.yaml	YAML_ERROR: ParserError
S_POSITIVE_INITIATIVE.yaml	YAML_ERROR: ParserError
S_POSITIVE_RESONANCE_ON_PET_NAME_MARKER.yaml	YAML_ERROR: ParserError
S_POWER_PLAY_MARKER.yaml	OK
S_RECONCILIATION.yaml	OK
S_RESONANCE_TACTICS_MARKER.yaml	OK
S_RESONANZ_AUF_KOSENAME_MARKER.yaml	YAML_ERROR: ParserError
S_RESPONSIBILITY_SHIFT_MARKER.yaml	YAML_ERROR: ScannerError
S_SECURE_CHILDHOOD_REF_MARKER.yaml	YAML_ERROR: ScannerError
S_SUSTAINED_CONTACT_MARKER.yaml	YAML_ERROR: ScannerError
TERMINATION_MARKER.yaml	OK
TOMS_Erweiterte_Marker.yaml	OK
TOPIC_SHIFT_SEM_MARKER.yaml	OK
TRANSLATION_ARTIFACT.yaml	OK
UNCERTAINTY_MARKER.yaml	OK
UNCLEAR_INTESION_MARKER.yaml	OK
UNTRACEABLE_PAYMENT_METHOD.yaml	OK
URGENCY_SCARCITY.yaml	OK
VALUE_DYNAMICS_LEVELS 2.yaml	OK
VALUE_DYNAMICS_LEVELS.yaml	OK
WEBCAM_EXCUSE.yaml	OK
WEBCAM_EXCUSE_MARKER.yaml	OK
WEIGHTS_FOR_TEXT_MARKER.yaml	OK
WITH_OPEN(PATH,_"R",_ENCODING="UTF-8")_AS_F_MARKER.yaml	OK
_HIGH_LOC_DENSITY_MARKER.yaml	YAML_ERROR: ParserError
emotional_withdraw 2.yaml	OK
enhanced_marker_config 2.yaml	OK
fraud_markers.yaml	OK
gitignore.yaml	OK
kommunikationsmarker_ident.yaml	OK
mark01.yaml	OK
mark02.yaml	OK
mark03.yaml	OK
mark04.yaml	OK
mark05.yaml	OK
marker_emotionaler_rueckzugsdruck.yaml	OK
marker_rollen_rotation.yaml	OK
marker_sarkasmus.yaml	OK
marker_set_beziehung.yaml	OK
meta_marker_definitions.yaml	OK
pyproject_toml.yaml	OK
requirements_txt.yaml	OK
roles_rotation_rules_semantic_grep.yaml	OK
sarkasm_in_EW.yaml	OK
sarkasm_in_ironic_statements.yaml	OK
selbst_evaluative_muster.yaml	OK
spannungen_rueckzug.yaml	OK
streitmarker.yaml	OK
verbindungsmarker.yaml	OK
verhalten_verlustangst_bindungsangst.yaml	OK
verhaltens_score_kalkulieren.yaml	OK
versöhnungsmarker.yaml	OK
vorwurfsmarker.yaml	OK
widerspruchsmarker.yaml	OK
wutmarker.yaml	OK
zweifelmarker.yaml	OK
